Sport,Event,Gender,Athlete,Medal,Year
Artistic Gymnastics,Floor Exercise,Women,Gabby Douglas,None,2012
Artistic Gymnastics,Floor Exercise,Women,Kyla Ross,None,2012
Artistic Gymnastics,Horse Vault,Women,McKayla Maroney,Silver,2012
Artistic Gymnastics,Uneven Bars,Women,Gabby Douglas,None,2012
Artistic Gymnastics,Uneven Bars,Women,Kyla Ross,None,2012
Artistic Gymnastics,Uneven Bars,Women,Jordyn Wieber,None,2012
Artistic Gymnastics,Uneven Bars,Women,Aly Raisman,None,2012
Artistic Gymnastics,Balance Beam,Women,Aly Raisman,Bronze,2012
Artistic Gymnastics,Balance Beam,Women,Gabby Douglas,None,2012
Artistic Gymnastics,Balance Beam,Women,Kyla Ross,None,2012
Artistic Gymnastics,Balance Beam,Women,Jordyn Wieber,None,2012
Artistic Swimming,Duet,Women,Mary Killman•Mariya Koroleva,None,2012
Athletics,100 metres,Men,Justin Gatlin,Bronze,2012
Athletics,100 metres,Men,Ryan Bailey,None,2012
Athletics,100 metres,Men,Tyson Gay,None,2012
Athletics,200 metres,Men,"Wallace Spearmon, Jr.",None,2012
Athletics,200 metres,Men,Maurice Mitchell,None,2012
Athletics,200 metres,Men,Isiah Young,None,2012
Athletics,400 metres,Men,Bryshon Nellum,None,2012
Athletics,400 metres,Men,Tony McQuay,None,2012
Athletics,400 metres,Men,LaShawn Merritt,None,2012
Athletics,800 metres,Men,Duane Solomon,None,2012
Athletics,800 metres,Men,Nick Symmonds,None,2012
Athletics,800 metres,Men,Khadevis Robinson,None,2012
Athletics,"1,500 metres",Men,Leo Manzano,Silver,2012
Athletics,"1,500 metres",Men,"Matthew Centrowitz, Jr.",None,2012
Athletics,"1,500 metres",Men,Andrew Wheating,None,2012
Athletics,"5,000 metres",Men,Bernard Lagat,None,2012
Athletics,"5,000 metres",Men,Galen Rupp,None,2012
Athletics,"5,000 metres",Men,Lopez Lomong,None,2012
Athletics,"10,000 metres",Men,Galen Rupp,Silver,2012
Athletics,"10,000 metres",Men,Dathan Ritzenhein,None,2012
Athletics,"10,000 metres",Men,Matt Tegenkamp,None,2012
Athletics,Marathon,Men,Meb Keflezighi,None,2012
Athletics,Marathon,Men,Abdi Abdirahman,None,2012
Athletics,Marathon,Men,Ryan Hall,None,2012
Athletics,110 metres Hurdles,Men,Aries Merritt,Gold,2012
Athletics,110 metres Hurdles,Men,Jason Richardson,Silver,2012
Athletics,110 metres Hurdles,Men,Jeff Porter,None,2012
Athletics,400 metres Hurdles,Men,Michael Tinsley,Silver,2012
Athletics,400 metres Hurdles,Men,Angelo Taylor,None,2012
Athletics,400 metres Hurdles,Men,Kerron Clement,None,2012
Athletics,"3,000 metres Steeplechase",Men,Evan Jager,None,2012
